week_id,as_of_date,policy_id,tier,subject_id,document_type,document_number,title,agencies,publisher,published_at,accessed_at,url,matched_terms,score,claim
2026-W32,2026-08-08,pol-prediction-markets-2026-15948,fringe,prediction-markets,Proposed Rule,2026-15948,Conflicts and Affiliations,Commodity Futures Trading Commission,Federal Register,2026-08-06,2026-08-08,https://www.federalregister.gov/documents/2026/08/06/2026-15948/conflicts-and-affiliations,prediction market; designated contract market; Commodity Futures Trading Commission; derivatives; swap,36,"Presidential document published 2026-08-06: ""Conflicts and Affiliations"". Language matches the prediction-markets fringe entry (prediction market, designated contract market, Commodity Futures Trading Commission, derivatives, swap). Contents not reviewed. This records that the state has begun writing about the area, which is a regulatory-motion signal and nothing more."
2026-W32,2026-08-08,pol-prediction-markets-2026-14635,fringe,prediction-markets,Rule,2026-14635,Order Providing Exemptive Relief To Facilitate Listing of Cash-Settled Futures on Individual Equity Securities,Commodity Futures Trading Commission,Federal Register,2026-07-21,2026-08-08,https://www.federalregister.gov/documents/2026/07/21/2026-14635/order-providing-exemptive-relief-to-facilitate-listing-of-cash-settled-futures-on-individual-equity,designated contract market; Commodity Futures Trading Commission,16,"Presidential document published 2026-07-21: ""Order Providing Exemptive Relief To Facilitate Listing of Cash-Settled Futures on Individual Equity Securities"". Language matches the prediction-markets fringe entry (designated contract market, Commodity Futures Trading Commission). Contents not reviewed. This records that the state has begun writing about the area, which is a regulatory-motion signal and nothing more."
2026-W32,2026-08-08,pol-prediction-markets-2026-13239,fringe,prediction-markets,Proposed Rule,2026-13239,Data Reporting Requirements for Certain Event Contracts,Commodity Futures Trading Commission,Federal Register,2026-07-01,2026-08-08,https://www.federalregister.gov/documents/2026/07/01/2026-13239/data-reporting-requirements-for-certain-event-contracts,event contract; prediction market; binary option; designated contract market; Commodity Futures Trading Commission; derivatives,66,"Presidential document published 2026-07-01: ""Data Reporting Requirements for Certain Event Contracts"". Language matches the prediction-markets fringe entry (event contract, prediction market, binary option, designated contract market, Commodity Futures Trading Commission, derivatives). Contents not reviewed. This records that the state has begun writing about the area, which is a regulatory-motion signal and nothing more."
2026-W32,2026-08-08,pol-prediction-markets-2026-12337,fringe,prediction-markets,Proposed Rule,2026-12337,Request for Information: Identifying Regulations To Facilitate Innovation and Competition to Financial Products and Services for Fintech Firms,Commodity Futures Trading Commission,Federal Register,2026-06-18,2026-08-08,https://www.federalregister.gov/documents/2026/06/18/2026-12337/request-for-information-identifying-regulations-to-facilitate-innovation-and-competition-to,designated contract market; Commodity Futures Trading Commission; derivatives; swap,18,"Presidential document published 2026-06-18: ""Request for Information: Identifying Regulations To Facilitate Innovation and Competition to Financial Products and Services for Fintech Firms"". Language matches the prediction-markets fringe entry (designated contract market, Commodity Futures Trading Commission, derivatives, swap). Contents not reviewed. This records that the state has begun writing about the area, which is a regulatory-motion signal and nothing more."
2026-W32,2026-08-08,pol-prediction-markets-2026-11854,fringe,prediction-markets,Proposed Rule,2026-11854,Prediction Markets; Public Interest Determinations,Commodity Futures Trading Commission,Federal Register,2026-06-12,2026-08-08,https://www.federalregister.gov/documents/2026/06/12/2026-11854/prediction-markets-public-interest-determinations,event contract; prediction market; binary option; designated contract market; Commodity Futures Trading Commission; derivatives,70,"Presidential document published 2026-06-12: ""Prediction Markets; Public Interest Determinations"". Language matches the prediction-markets fringe entry (event contract, prediction market, binary option, designated contract market, Commodity Futures Trading Commission, derivatives). Contents not reviewed. This records that the state has begun writing about the area, which is a regulatory-motion signal and nothing more."
